Id,BIRTHDATE,DEATHDATE,SSN,DRIVERS,PASSPORT,PREFIX,FIRST,LAST,SUFFIX,MAIDEN,MARITAL,RACE,ETHNICITY,GENDER,BIRTHPLACE,ADDRESS,CITY,STATE,COUNTY,ZIP,LAT,LON
c815502d-34bf-d958-b4b5-64a975eb39f5,2017-08-09,,999-21-1594,,,,Porfirio146,McGlynn426,,,,white,nonhispanic,M,Malden  Massachusetts  US,871 Gutmann Meadow Apt 49,Lynn,Massachusetts,Essex County,01907,42.58037148104772,-71.07145677186136
d2c12fa2-fa3c-6a34-6f0a-5447deeb768e,2004-12-08,,999-35-6461,S99948776,,,Nolan344,West559,,,,white,nonhispanic,M,Leominster  Massachusetts  US,705 Bashirian Row,Brockton,Massachusetts,Plymouth County,,42.1412089535189,-70.95326416437696
96fd1b80-2685-b340-1a61-927ecd59e440,1961-10-25,,999-62-2180,S99991081,X48212695X,Mr.,Ezra452,Mills423,,,S,white,nonhispanic,M,Boston  Massachusetts  US,929 Kshlerin Dale Unit 5,Pittsfield,Massachusetts,Berkshire County,01201,42.422306375610184,-73.303116848502
fe68c0ca-c4e7-4340-8cdf-a435aa908d6e,2013-01-04,,999-52-8378,,,,Hester117,Effertz744,,,,white,nonhispanic,F,Easton  Massachusetts  US,770 Grant Rapid Apt 98,Boston,Massachusetts,Suffolk County,02199,42.35574774254613,-71.04716673540439
f32fbb15-3af5-6d9c-30ac-68356cd442e4,1963-05-26,,999-83-5256,S99997953,X54481075X,Mrs.,Audry167,Kuphal363,,Oberbrunner298,M,white,nonhispanic,F,Boston  Massachusetts  US,590 Pfeffer Fork,Boston,Massachusetts,Suffolk County,02113,42.36633677898356,-71.04516529630516
41fd7b9e-b266-7184-c834-d8d76cd652de,1975-01-06,,999-85-8461,S99990593,X3967565X,Mr.,Boyce638,Hayes766,,,M,white,nonhispanic,M,Methuen  Massachusetts  US,896 Schaefer Trailer Unit 3,Southbridge,Massachusetts,Worcester County,,42.02461423661253,-72.03038564635781
8c52d35d-67b2-9fd9-1841-18a4f9acd708,1984-10-29,,999-99-1069,S99992497,X29392255X,Mrs.,Tia76,Franecki195,,Ondricka197,M,white,nonhispanic,F,Warren  Massachusetts  US,1066 Barrows Wynd,Fitchburg,Massachusetts,Worcester County,,42.64364387074868,-71.80221632974335
c2e2053d-61f0-e781-afbf-105f9d5fd23a,1965-08-24,,999-46-4726,S99967316,X68124559X,Mrs.,Rosio404,Willms744,,Toy286,M,white,nonhispanic,F,New Bedford  Massachusetts  US,1089 Trantow Neck Suite 18,Newton,Massachusetts,Middlesex County,02459,42.313545330875336,-71.2626899153047
ccc8828b-3338-ecdf-1011-b59dc4bead9a,2000-03-15,,999-18-6114,S99976707,X39109740X,Ms.,Michiko564,Daniel959,,,,white,nonhispanic,F,Boston  Massachusetts  US,996 Bayer Fort,New Bedford,Massachusetts,Bristol County,02744,41.74259758070695,-70.9429899543682
941259df-fd29-6e84-366d-36d947d54312,1962-08-20,,999-66-3637,S99976155,X44105702X,Mr.,Derek111,Becker968,,,M,white,nonhispanic,M,Lynn  Massachusetts  US,866 Howell Rue,Billerica,Massachusetts,Middlesex County,,42.58879662381494,-71.30768726054679
